Customer ID,Arrival Time,Service Start Time,Service End Time,Service Time,Wait Time,Server ID,Time in System
1,0.47,0.47,3.46,2.99,0.0,1,2.99
2,3.48,3.4799999999999995,5.3999999999999995,1.92,-4.440892098500626e-16,2,1.9199999999999995
3,4.8,4.8,5.7299999999999995,0.93,0.0,3,0.93
4,5.71,5.71,9.91,4.2,0.0,1,4.2
5,5.88,5.88,8.77,2.89,0.0,2,2.89
6,6.05,6.05,6.55,0.5,0.0,3,0.5
7,6.11,6.55,12.6,6.05,0.4399999999999995,3,6.489999999999999
8,8.12,8.77,13.09,4.32,0.6500000000000004,2,4.970000000000001
9,9.04,9.91,17.39,7.48,0.870000000000001,1,8.350000000000001
10,10.27,12.6,15.83,3.23,2.33,3,5.5600000000000005
11,10.29,13.09,15.469999999999999,2.38,2.8000000000000007,2,5.180000000000001
12,13.79,15.469999999999999,16.82,1.35,1.6799999999999997,2,3.03
13,15.58,15.83,22.58,6.75,0.25,3,7.0
14,15.82,16.82,21.85,5.03,1.0,2,6.03
15,16.02,17.39,17.89,0.5,1.370000000000001,1,1.870000000000001
16,16.22,17.89,18.39,0.5,1.6700000000000017,1,2.1700000000000017
17,16.59,18.39,19.57,1.18,1.8000000000000007,1,2.9800000000000004
18,17.33,19.57,23.73,4.16,2.240000000000002,1,6.400000000000002
19,17.89,21.85,32.760000000000005,10.91,3.960000000000001,2,14.870000000000001
20,18.24,22.58,23.08,0.5,4.34,3,4.84
21,19.19,23.08,25.33,2.25,3.889999999999997,3,6.139999999999997
22,19.34,23.73,24.93,1.2,4.390000000000001,1,5.590000000000001
23,19.68,24.93,33.69,8.76,5.25,1,14.01
24,20.14,25.33,29.939999999999998,4.61,5.189999999999998,3,9.799999999999997
25,20.75,29.939999999999998,34.5,4.56,9.189999999999998,3,13.749999999999996
26,22.28,32.760000000000005,34.34,1.58,10.480000000000004,2,12.060000000000004
27,22.51,33.69,35.03,1.34,11.179999999999996,1,12.519999999999996
28,23.23,34.34,35.14,0.8,11.110000000000003,2,11.910000000000004
29,24.13,34.5,35.0,0.5,10.370000000000001,3,10.870000000000001
30,24.17,35.0,40.0,5.0,10.829999999999998,3,15.829999999999998
31,25.11,35.03,39.22,4.19,9.920000000000002,1,14.110000000000003
32,25.3,35.14,55.57,20.43,9.84,2,30.27
33,25.36,39.22,53.46,14.24,13.86,1,28.1
34,28.34,40.0,42.03,2.03,11.66,3,13.69
35,31.71,42.03,45.69,3.66,10.32,3,13.98
36,33.36,45.69,52.93,7.24,12.329999999999998,3,19.57
37,33.72,52.93,57.67,4.74,19.21,3,23.950000000000003
38,33.83,53.46,54.17,0.71,19.630000000000003,1,20.340000000000003
39,34.98,54.17,55.67,1.5,19.190000000000005,1,20.690000000000005
40,35.56,55.57,56.07,0.5,20.009999999999998,2,20.509999999999998
41,35.69,55.67,63.370000000000005,7.7,19.980000000000004,1,27.680000000000003
42,36.37,56.07,58.4,2.33,19.700000000000003,2,22.03
43,36.41,57.67,58.32,0.65,21.260000000000005,3,21.910000000000004
44,38.81,58.32,61.1,2.78,19.509999999999998,3,22.29
45,39.11,58.4,60.81,2.41,19.29,2,21.7
46,40.19,60.81,61.92,1.11,20.620000000000005,2,21.730000000000004
47,40.57,61.1,61.6,0.5,20.53,3,21.03
48,41.3,61.6,64.38,2.78,20.300000000000004,3,23.080000000000005
49,42.09,61.92,63.760000000000005,1.84,19.83,2,21.669999999999998
50,42.3,63.370000000000005,67.07000000000001,3.7,21.070000000000007,1,24.770000000000007
51,45.79,63.760000000000005,65.60000000000001,1.84,17.970000000000006,2,19.810000000000006
52,47.28,64.38,69.16,4.78,17.099999999999994,3,21.879999999999995
53,50.09,65.60000000000001,67.61000000000001,2.01,15.510000000000005,2,17.520000000000003
54,52.34,67.07000000000001,69.13000000000001,2.06,14.730000000000004,1,16.790000000000003
55,53.25,67.61000000000001,72.84000000000002,5.23,14.360000000000014,2,19.590000000000014
56,55.8,69.13000000000001,70.42000000000002,1.29,13.330000000000013,1,14.620000000000012
57,55.89,69.16,69.66,0.5,13.269999999999996,3,13.769999999999996
58,56.11,69.66,70.16,0.5,13.549999999999997,3,14.049999999999997
59,56.16,70.16,73.67999999999999,3.52,14.0,3,17.52
